Lucy Data Summary 20240120 13:17:21
 
Sample Name,Comments,DIC flag,TA flag,Analysis Type,Date (analysis),Time (analysis),Station,Cast,Niskin,Replicate (diff bottle),Repeat(same bottle),No. Of Repeats,Depth (m),CTD Temp (°C),Salinity,Phosphate (uMol/Kg),Silicate (uMol/Kg),Nitrate (uMol/Kg),DIC pipette volume (ml),DIC set end point (cpm),DIC pipette temp sample (°C),DIC background (cpm),DIC total time (s),DIC total counts,DIC cell Number (sequential),Sample Bottle temp (°C),TA pipette vol (ml),TA cell temp (°C),TA Acid Batch,TA Acid conc (Mol),TA Acid density (Kg/l)
9999_20240203_1_0_1_3, ,-999,-999,1,20240203,055026,9999,20240203,1,1,3,5,0,0,35,0,0,-999,21.8442,200,0,66,224,237553,10,24.44,96.7556,-999,-999,-999,-999
9999_20240203_1_0_1_4, ,-999,-999,1,20240203,060233,9999,20240203,1,1,4,5,0,0,35,0,0,-999,21.8442,200,0,66,232,237005,10,24.42,96.7556,-999,-999,-999,-999
9999_20240203_1_0_1_5, ,-999,-999,1,20240203,061430,9999,20240203,1,1,5,5,0,0,35,0,0,-999,21.8442,200,0,122,223,236496,10,24.44,96.7556,-999,-999,-999,-999
9999_20240203_2_0_1_1, ,-999,-999,1,20240203,062830,9999,20240203,2,1,1,5,0,0,35,0,0,-999,21.8442,50,0,54,338,237404,10,24.39,96.7556,-999,-999,-999,-999
9999_20240203_2_0_1_2, ,-999,-999,1,20240203,064457,9999,20240203,2,1,2,5,0,0,35,0,0,-999,21.8442,50,0,69,498,237745,10,24.37,96.7556,-999,-999,-999,-999
9999_20240203_2_0_1_3, ,-999,-999,1,20240203,070025,9999,20240203,2,1,3,5,0,0,35,0,0,-999,21.8442,50,0,0,442,237383,10,24.42,96.7556,-999,-999,-999,-999
9999_20240203_2_0_1_4, ,-999,-999,1,20240203,071807,9999,20240203,2,1,4,5,0,0,35,0,0,-999,21.8442,50,0,43,566,237626,10,24.44,96.7556,-999,-999,-999,-999
9999_20240203_2_0_1_5, ,-999,-999,1,20240203,073238,9999,20240203,2,1,5,5,0,0,35,0,0,-999,21.8442,50,0,28,375,237083,10,24.39,96.7556,-999,-999,-999,-999
9999_20240203_3_0_1_1, ,-999,-999,3,20240203,082641,9999,20240203,3,1,1,2,0,0,35,0,0,-999,21.8442,50,0,0,338,237585,10,24.55,96.7556,24.7,-999,-999,-999
9999_20240203_3_0_1_2, ,-999,-999,3,20240203,085256,9999,20240203,3,1,2,2,0,0,35,0,0,-999,21.8442,50,0,20,386,237581,10,24.86,96.7556,24.89,-999,-999,-999
9999_20240203_4_0_1_1, ,-999,-999,3,20240203,092006,9999,20240203,4,1,1,2,0,0,35,0,0,-999,21.8442,50,0,36,364,237994,10,24.29,96.7556,24.82,-999,-999,-999
9999_20240203_4_0_1_2, ,-999,-999,3,20240203,094645,9999,20240203,4,1,2,2,0,0,35,0,0,-999,21.8442,50,0,13,312,237745,10,24.54,96.7556,24.92,-999,-999,-999
8888_0208_1227_0_1_1, ,-999,-999,3,20240203,101458,8888,0208,1227,1,1,2,0,0,35,0,0,-999,21.8442,50,0,40,367,222455,10,24.44,96.7556,24.89,-999,-999,-999
8888_0208_1227_0_1_2, ,-999,-999,3,20240203,104206,8888,0208,1227,1,2,2,0,0,35,0,0,-999,21.8442,50,0,86,378,222329,10,24.47,96.7556,24.95,-999,-999,-999
0000_044_2_382_1_1, ,-999,-999,3,20240203,111036,0000,044,2,1,1,1,382,0,35,0,0,-999,21.8442,50,0,29,304,242302,10,24.37,96.7556,24.92,-999,-999,-999
0000_044_2_382_2_1, ,-999,-999,3,20240203,113852,0000,044,2,2,1,1,382,0,35,0,0,-999,21.8442,50,0,0,307,242255,10,24.39,96.7556,24.79,-999,-999,-999
0000_044_2_382_3_1, ,-999,-999,3,20240203,120811,0000,044,2,3,1,1,382,0,35,0,0,-999,21.8442,50,0,0,496,242497,10,24.5,96.7556,24.94,-999,-999,-999
